"station_id","lng","lat","district","count"
"C0638",121.4953,31.158,"浦东新区",4804
"C0639",121.4883,31.2,"黄浦区",0
"C0640",121.5458,31.2236,"浦东新区",5429
"C0641",121.4583,31.196,"徐汇区",0
"C0642",121.3073,31.1847,"青浦区",1120
"C0643",121.5013,31.179,"浦东新区",4036
"C0644",121.4953,31.149,"浦东新区",8836
"C0645",121.4023,31.185,"闵行区",2387
"C0646",121.3993,31.214,"长宁区",2601
"C0647",121.4193,31.262,"普陀区",4936
"C0648",121.4973,31.303,"杨浦区",1923
"C0649",121.5083,31.258,"虹口区",1349
"C0650",121.4103,31.241,"普陀区",3076
"C0651",121.3733,31.247,"普陀区",6102
